customer_id,date_of_customer_visit,number_of_days_to_deliver_Product,fiter_Name,glass_distributor_name,time_spend_by_customer_in_shop
151,2025-08-15,3,"Fitter 1","Distributor 3",44
154,2025-03-06,4,"Fitter 5","Distributor 1",50
155,2025-11-30,2,"Fitter 1","Distributor 3",19
156,2025-05-17,4,"Fitter 1","Distributor 2",19
157,2025-08-28,2,"Fitter 2","Distributor 1",36
158,2025-03-24,7,"Fitter 3","Distributor 2",18
162,2025-06-17,6,"Fitter 3","Distributor 3",45
164,2025-04-28,3,"Fitter 2","Distributor 2",25
165,2025-09-10,5,"Fitter 1","Distributor 2",46
167,2025-04-26,2,"Fitter 3","Distributor 1",29
168,2025-02-09,7,"Fitter 2","Distributor 3",34
171,2025-06-01,6,"Fitter 2","Distributor 1",48
173,2025-06-21,5,"Fitter 5","Distributor 2",19
175,2025-03-16,1,"Fitter 5","Distributor 3",22
176,2025-03-28,2,"Fitter 4","Distributor 3",23
177,2025-04-03,2,"Fitter 3","Distributor 1",26
178,2025-05-10,1,"Fitter 3","Distributor 1",13
180,2025-04-18,2,"Fitter 5","Distributor 2",41
181,2025-06-23,2,"Fitter 5","Distributor 2",21
185,2025-09-13,6,"Fitter 1","Distributor 1",14
186,2025-07-10,6,"Fitter 5","Distributor 1",12
187,2025-07-28,6,"Fitter 2","Distributor 2",26
188,2025-05-10,4,"Fitter 5","Distributor 1",35
192,2025-01-25,7,"Fitter 3","Distributor 2",31
194,2025-02-25,2,"Fitter 2","Distributor 3",41
195,2025-03-26,5,"Fitter 2","Distributor 2",23
201,2025-02-23,5,"Fitter 4","Distributor 3",37
202,2025-06-19,5,"Fitter 5","Distributor 3",38
205,2025-07-15,5,"Fitter 5","Distributor 1",29
207,2025-01-22,3,"Fitter 5","Distributor 2",28
209,2025-07-19,3,"Fitter 4","Distributor 1",15
210,2025-08-17,1,"Fitter 4","Distributor 3",23
214,2025-03-12,1,"Fitter 4","Distributor 1",36
217,2025-11-25,6,"Fitter 1","Distributor 2",49
220,2025-06-25,2,"Fitter 4","Distributor 2",35
225,2025-01-22,4,"Fitter 2","Distributor 1",29
226,2025-11-12,2,"Fitter 1","Distributor 1",28
229,2025-05-18,5,"Fitter 4","Distributor 3",25
230,2025-12-18,7,"Fitter 5","Distributor 3",28
233,2026-01-06,5,"Fitter 2","Distributor 2",38
234,2025-02-25,2,"Fitter 2","Distributor 3",33
239,2025-07-30,2,"Fitter 2","Distributor 2",46
241,2025-04-06,7,"Fitter 1","Distributor 3",33
242,2025-09-06,3,"Fitter 4","Distributor 2",48
243,2025-07-30,1,"Fitter 1","Distributor 3",46
244,2025-05-13,2,"Fitter 5","Distributor 2",31
245,2025-12-18,4,"Fitter 1","Distributor 1",46
247,2025-01-22,6,"Fitter 1","Distributor 1",38
249,2025-01-14,4,"Fitter 3","Distributor 1",50
255,2025-09-22,3,"Fitter 2","Distributor 2",29
258,2025-03-23,3,"Fitter 2","Distributor 2",38
265,2025-09-04,1,"Fitter 1","Distributor 3",20
267,2025-02-04,1,"Fitter 3","Distributor 1",10
269,2025-12-16,1,"Fitter 5","Distributor 2",25
271,2025-09-14,5,"Fitter 5","Distributor 2",18
273,2025-06-09,5,"Fitter 3","Distributor 3",10
277,2025-01-15,5,"Fitter 5","Distributor 1",28
281,2025-09-05,1,"Fitter 2","Distributor 2",50
282,2025-11-15,6,"Fitter 4","Distributor 3",22
283,2025-02-10,4,"Fitter 2","Distributor 3",47
286,2025-01-17,4,"Fitter 4","Distributor 1",42
290,2026-01-03,7,"Fitter 2","Distributor 2",35
291,2025-05-20,1,"Fitter 1","Distributor 1",18
292,2025-02-14,5,"Fitter 1","Distributor 2",30
296,2025-12-12,5,"Fitter 4","Distributor 3",31
300,2025-12-14,7,"Fitter 1","Distributor 3",19
302,2025-08-17,7,"Fitter 2","Distributor 1",10
303,2025-10-04,7,"Fitter 2","Distributor 2",10
305,2025-03-04,2,"Fitter 2","Distributor 3",30
308,2025-07-18,3,"Fitter 3","Distributor 3",26
316,2025-11-05,4,"Fitter 3","Distributor 3",29
318,2025-05-17,2,"Fitter 2","Distributor 3",49
320,2025-08-02,2,"Fitter 5","Distributor 2",25
322,2025-07-14,1,"Fitter 2","Distributor 3",42
323,2025-04-02,6,"Fitter 1","Distributor 1",33
324,2025-02-13,7,"Fitter 5","Distributor 3",43
329,2025-12-07,1,"Fitter 5","Distributor 2",26
330,2025-03-19,4,"Fitter 2","Distributor 2",34
339,2025-06-06,7,"Fitter 1","Distributor 3",21
340,2025-12-07,1,"Fitter 5","Distributor 3",19
342,2025-06-28,5,"Fitter 1","Distributor 2",32
344,2025-02-01,2,"Fitter 5","Distributor 2",20
347,2025-08-02,7,"Fitter 1","Distributor 3",20
350,2025-10-30,6,"Fitter 2","Distributor 3",29
352,2025-06-10,7,"Fitter 5","Distributor 3",19
354,2025-04-18,6,"Fitter 5","Distributor 3",20
355,2025-06-30,2,"Fitter 4","Distributor 2",16
356,2025-09-10,4,"Fitter 2","Distributor 2",25
359,2025-03-04,4,"Fitter 5","Distributor 3",19
360,2025-05-07,2,"Fitter 5","Distributor 3",48
362,2025-02-02,4,"Fitter 4","Distributor 3",29
363,2025-02-10,1,"Fitter 3","Distributor 1",25
369,2025-04-12,6,"Fitter 5","Distributor 3",17
371,2025-01-20,7,"Fitter 3","Distributor 3",19
372,2025-08-06,4,"Fitter 4","Distributor 3",15
373,2025-12-04,5,"Fitter 2","Distributor 1",25
375,2025-04-26,2,"Fitter 2","Distributor 1",26
376,2025-01-15,1,"Fitter 3","Distributor 3",50
378,2025-07-01,2,"Fitter 2","Distributor 2",28
381,2025-04-26,1,"Fitter 5","Distributor 1",17
382,2025-01-18,2,"Fitter 1","Distributor 2",21
385,2025-03-15,1,"Fitter 2","Distributor 3",17
390,2025-10-22,3,"Fitter 5","Distributor 1",41
392,2025-02-09,5,"Fitter 4","Distributor 1",42
396,2025-05-22,3,"Fitter 4","Distributor 2",42
402,2025-10-12,3,"Fitter 1","Distributor 3",46
403,2025-03-16,2,"Fitter 3","Distributor 1",11
404,2025-04-09,7,"Fitter 4","Distributor 3",47
405,2025-07-19,2,"Fitter 5","Distributor 1",40
407,2025-06-29,3,"Fitter 4","Distributor 2",35
408,2025-12-14,1,"Fitter 1","Distributor 2",43
409,2025-10-12,1,"Fitter 4","Distributor 3",20
410,2025-03-06,7,"Fitter 1","Distributor 3",33
412,2025-12-26,5,"Fitter 3","Distributor 2",47
419,2025-06-25,4,"Fitter 2","Distributor 3",43
421,2025-05-09,5,"Fitter 5","Distributor 1",31
423,2025-01-22,1,"Fitter 5","Distributor 1",28
425,2025-10-24,3,"Fitter 4","Distributor 2",39
427,2025-04-12,2,"Fitter 4","Distributor 3",11
428,2025-07-23,4,"Fitter 4","Distributor 1",30
430,2025-08-04,4,"Fitter 1","Distributor 3",45
431,2025-07-20,4,"Fitter 4","Distributor 1",29
432,2025-11-30,6,"Fitter 3","Distributor 3",22
433,2026-01-04,6,"Fitter 1","Distributor 3",49
434,2025-02-16,2,"Fitter 2","Distributor 3",15
440,2025-06-10,7,"Fitter 5","Distributor 2",37
441,2025-04-04,7,"Fitter 5","Distributor 3",33
444,2025-06-03,3,"Fitter 4","Distributor 2",18
447,2025-05-07,7,"Fitter 2","Distributor 3",35
448,2025-07-20,4,"Fitter 2","Distributor 3",10
449,2025-04-27,1,"Fitter 1","Distributor 3",44
451,2025-03-07,5,"Fitter 4","Distributor 2",15
452,2025-04-01,3,"Fitter 2","Distributor 2",44
453,2025-10-17,3,"Fitter 3","Distributor 2",43
454,2025-08-07,5,"Fitter 4","Distributor 3",23
456,2025-11-13,2,"Fitter 5","Distributor 1",47
458,2025-08-20,7,"Fitter 4","Distributor 2",23
459,2025-05-17,4,"Fitter 2","Distributor 1",25
460,2026-01-06,4,"Fitter 2","Distributor 2",13
461,2025-12-08,3,"Fitter 3","Distributor 2",21
463,2025-03-23,3,"Fitter 1","Distributor 3",38
465,2025-08-02,5,"Fitter 1","Distributor 3",50
468,2025-05-12,4,"Fitter 4","Distributor 3",48
469,2025-10-20,5,"Fitter 5","Distributor 2",17
474,2025-07-20,3,"Fitter 5","Distributor 3",35
476,2025-10-11,4,"Fitter 3","Distributor 2",45
477,2025-11-24,1,"Fitter 4","Distributor 2",17
478,2025-03-22,3,"Fitter 3","Distributor 3",45
479,2025-07-17,4,"Fitter 1","Distributor 1",37
480,2025-05-22,1,"Fitter 5","Distributor 3",45
483,2025-05-06,1,"Fitter 1","Distributor 3",37
484,2025-08-19,2,"Fitter 1","Distributor 3",17
489,2025-07-21,2,"Fitter 1","Distributor 3",21
490,2025-08-24,7,"Fitter 3","Distributor 1",11
495,2025-05-10,6,"Fitter 1","Distributor 3",48
497,2025-01-26,3,"Fitter 4","Distributor 3",18
498,2025-04-16,4,"Fitter 5","Distributor 1",32
500,2025-01-15,5,"Fitter 5","Distributor 2",14
502,2025-01-16,5,"Fitter 2","Distributor 2",21
503,2025-07-30,5,"Fitter 2","Distributor 2",10
504,2025-12-15,2,"Fitter 4","Distributor 3",22
505,2025-05-28,2,"Fitter 2","Distributor 3",23
506,2025-03-16,7,"Fitter 3","Distributor 2",43
508,2025-09-27,1,"Fitter 2","Distributor 2",12
509,2025-10-27,1,"Fitter 5","Distributor 3",38
511,2025-12-01,6,"Fitter 3","Distributor 3",12
513,2025-07-27,3,"Fitter 2","Distributor 2",12
515,2025-07-24,5,"Fitter 2","Distributor 3",29
516,2025-02-23,4,"Fitter 4","Distributor 3",23
518,2025-05-14,4,"Fitter 5","Distributor 3",10
519,2025-04-29,7,"Fitter 1","Distributor 2",30
520,2025-07-10,5,"Fitter 4","Distributor 2",17
522,2025-02-18,6,"Fitter 4","Distributor 1",37
523,2025-12-02,1,"Fitter 4","Distributor 2",15
524,2025-09-05,2,"Fitter 5","Distributor 2",41
525,2025-09-12,2,"Fitter 1","Distributor 3",30
526,2025-06-30,3,"Fitter 3","Distributor 2",37
527,2025-09-26,2,"Fitter 1","Distributor 2",44
528,2025-11-14,3,"Fitter 5","Distributor 1",23
531,2025-08-23,1,"Fitter 4","Distributor 1",37
535,2025-06-22,3,"Fitter 5","Distributor 3",17
539,2025-01-27,4,"Fitter 5","Distributor 2",25
540,2025-04-29,7,"Fitter 3","Distributor 1",15
543,2025-06-25,1,"Fitter 5","Distributor 2",37
544,2025-08-11,6,"Fitter 4","Distributor 2",43
546,2025-07-21,7,"Fitter 1","Distributor 1",40
548,2025-09-29,6,"Fitter 2","Distributor 3",22
549,2025-07-08,3,"Fitter 4","Distributor 1",14
550,2025-04-07,2,"Fitter 2","Distributor 3",39
551,2025-06-13,6,"Fitter 2","Distributor 1",28
552,2025-05-10,6,"Fitter 1","Distributor 1",38
555,2025-09-30,1,"Fitter 1","Distributor 2",45
557,2025-11-21,7,"Fitter 5","Distributor 2",37
560,2025-09-15,1,"Fitter 2","Distributor 3",41
561,2025-11-15,4,"Fitter 3","Distributor 1",33
563,2025-11-28,2,"Fitter 1","Distributor 1",38
564,2025-10-25,7,"Fitter 5","Distributor 2",34
569,2025-10-24,5,"Fitter 2","Distributor 3",10
571,2025-11-16,4,"Fitter 1","Distributor 1",23
572,2025-01-26,3,"Fitter 5","Distributor 1",12
574,2025-06-28,6,"Fitter 4","Distributor 3",24
575,2025-09-19,5,"Fitter 2","Distributor 3",25
576,2025-12-24,1,"Fitter 5","Distributor 1",28
577,2025-01-19,4,"Fitter 2","Distributor 1",26
581,2025-04-02,5,"Fitter 2","Distributor 2",26
586,2025-12-16,3,"Fitter 4","Distributor 2",38
587,2025-04-24,6,"Fitter 2","Distributor 2",27
592,2025-11-13,3,"Fitter 4","Distributor 3",22
593,2025-08-24,7,"Fitter 3","Distributor 1",34
595,2025-07-21,1,"Fitter 1","Distributor 2",27
596,2025-02-03,2,"Fitter 1","Distributor 2",40
597,2025-10-12,6,"Fitter 3","Distributor 1",38
599,2025-02-24,4,"Fitter 2","Distributor 3",24
603,2025-09-29,6,"Fitter 5","Distributor 1",40
608,2025-05-23,3,"Fitter 3","Distributor 1",25
609,2025-02-23,4,"Fitter 4","Distributor 1",47
612,2025-07-07,3,"Fitter 4","Distributor 3",43
613,2025-10-28,6,"Fitter 3","Distributor 1",34
614,2025-03-01,7,"Fitter 4","Distributor 1",11
615,2025-11-03,6,"Fitter 4","Distributor 3",28
617,2025-06-28,4,"Fitter 1","Distributor 3",21
619,2025-09-09,7,"Fitter 5","Distributor 2",33
620,2025-11-06,7,"Fitter 1","Distributor 2",30
622,2026-01-01,1,"Fitter 1","Distributor 3",28
625,2025-11-09,5,"Fitter 5","Distributor 2",19
628,2025-06-04,2,"Fitter 2","Distributor 2",46
630,2025-07-21,6,"Fitter 4","Distributor 1",41
632,2025-12-06,4,"Fitter 4","Distributor 2",18
635,2025-11-26,4,"Fitter 2","Distributor 3",24
637,2025-04-30,5,"Fitter 2","Distributor 3",42
639,2025-06-23,6,"Fitter 3","Distributor 1",22
640,2025-11-13,6,"Fitter 2","Distributor 1",20
642,2025-09-07,5,"Fitter 5","Distributor 1",30
646,2025-10-17,7,"Fitter 2","Distributor 3",45
647,2025-01-30,7,"Fitter 2","Distributor 2",20
649,2025-07-14,4,"Fitter 1","Distributor 2",50
650,2025-09-06,2,"Fitter 2","Distributor 1",16
652,2025-12-10,5,"Fitter 1","Distributor 1",30
653,2025-10-14,7,"Fitter 1","Distributor 1",18
654,2025-01-18,6,"Fitter 5","Distributor 2",34
655,2025-05-17,5,"Fitter 1","Distributor 1",48
657,2025-12-02,3,"Fitter 2","Distributor 1",31
658,2025-12-29,5,"Fitter 2","Distributor 3",23
659,2025-02-12,5,"Fitter 5","Distributor 2",18
661,2025-06-23,5,"Fitter 2","Distributor 3",35
662,2025-05-29,1,"Fitter 1","Distributor 1",44
665,2025-01-22,6,"Fitter 3","Distributor 1",13
666,2025-07-11,1,"Fitter 5","Distributor 1",24
668,2025-08-17,1,"Fitter 2","Distributor 3",29
669,2025-11-27,7,"Fitter 2","Distributor 1",44
671,2025-11-21,3,"Fitter 1","Distributor 2",11
672,2025-01-27,2,"Fitter 4","Distributor 1",21
675,2025-06-19,4,"Fitter 3","Distributor 2",13
676,2025-04-15,1,"Fitter 2","Distributor 1",11
677,2025-04-09,6,"Fitter 3","Distributor 1",32
678,2025-05-27,3,"Fitter 3","Distributor 3",47
679,2025-11-20,6,"Fitter 2","Distributor 3",11
682,2025-05-28,1,"Fitter 2","Distributor 1",31
684,2025-03-04,2,"Fitter 4","Distributor 2",28
686,2025-12-19,1,"Fitter 1","Distributor 2",43
687,2025-11-26,5,"Fitter 5","Distributor 3",19
690,2025-09-16,1,"Fitter 5","Distributor 2",33
691,2025-09-10,5,"Fitter 5","Distributor 1",42
692,2025-12-16,2,"Fitter 1","Distributor 3",21
697,2025-04-02,1,"Fitter 4","Distributor 1",40
699,2025-03-21,3,"Fitter 1","Distributor 3",13
700,2025-04-29,3,"Fitter 5","Distributor 2",27
702,2025-06-10,4,"Fitter 2","Distributor 2",14
703,2025-04-25,6,"Fitter 3","Distributor 3",29
704,2025-01-31,1,"Fitter 1","Distributor 1",24
706,2025-03-11,3,"Fitter 4","Distributor 1",14
707,2025-08-11,6,"Fitter 5","Distributor 3",10
708,2025-07-02,7,"Fitter 2","Distributor 2",36
712,2025-12-31,1,"Fitter 4","Distributor 3",12
714,2025-04-18,5,"Fitter 3","Distributor 3",19
715,2025-10-14,6,"Fitter 3","Distributor 3",31
716,2025-04-18,5,"Fitter 5","Distributor 3",17
717,2025-05-29,3,"Fitter 5","Distributor 2",29
718,2025-11-08,3,"Fitter 3","Distributor 1",31
719,2025-09-09,1,"Fitter 2","Distributor 3",44
722,2025-12-24,4,"Fitter 4","Distributor 3",32
724,2025-12-29,7,"Fitter 5","Distributor 3",47
726,2025-08-27,6,"Fitter 5","Distributor 1",45
728,2025-08-20,7,"Fitter 2","Distributor 3",27
729,2025-05-20,6,"Fitter 4","Distributor 1",39
730,2025-11-07,4,"Fitter 5","Distributor 3",47
731,2025-10-27,3,"Fitter 3","Distributor 3",11
733,2025-12-06,4,"Fitter 1","Distributor 1",25
734,2025-08-30,5,"Fitter 1","Distributor 3",43
736,2025-05-11,7,"Fitter 5","Distributor 3",43
737,2025-05-14,4,"Fitter 5","Distributor 1",41
738,2025-05-11,6,"Fitter 4","Distributor 1",34
739,2025-12-04,2,"Fitter 4","Distributor 2",15
740,2025-05-17,3,"Fitter 5","Distributor 2",14
742,2025-07-26,6,"Fitter 4","Distributor 3",18
743,2025-02-23,7,"Fitter 5","Distributor 3",16
747,2025-10-08,3,"Fitter 1","Distributor 1",16
748,2025-01-18,5,"Fitter 5","Distributor 3",43
750,2025-07-04,5,"Fitter 3","Distributor 3",26
754,2025-10-26,5,"Fitter 3","Distributor 3",40
755,2025-03-01,4,"Fitter 1","Distributor 2",17
757,2025-10-14,3,"Fitter 2","Distributor 2",22
760,2025-05-16,2,"Fitter 5","Distributor 3",48
762,2025-03-28,7,"Fitter 2","Distributor 2",37
764,2025-12-01,7,"Fitter 2","Distributor 1",49
766,2025-09-27,6,"Fitter 2","Distributor 2",29
767,2025-04-18,1,"Fitter 5","Distributor 2",20
768,2025-02-18,7,"Fitter 1","Distributor 1",47
769,2025-08-02,1,"Fitter 2","Distributor 1",46
770,2025-03-10,7,"Fitter 3","Distributor 3",43
774,2025-07-27,5,"Fitter 2","Distributor 2",15
776,2025-12-07,4,"Fitter 4","Distributor 2",41
778,2025-12-18,4,"Fitter 3","Distributor 3",24
781,2025-08-05,6,"Fitter 5","Distributor 1",33
783,2025-11-11,6,"Fitter 4","Distributor 2",36
786,2025-05-05,2,"Fitter 3","Distributor 3",42
789,2025-03-27,2,"Fitter 5","Distributor 1",50
791,2025-02-19,7,"Fitter 3","Distributor 1",19
792,2025-04-09,4,"Fitter 4","Distributor 1",34
793,2025-06-24,2,"Fitter 4","Distributor 3",39
796,2025-08-11,5,"Fitter 1","Distributor 2",50
797,2025-05-05,1,"Fitter 2","Distributor 3",13
806,2025-01-30,3,"Fitter 4","Distributor 3",28
807,2025-09-10,6,"Fitter 2","Distributor 2",27
809,2026-01-01,1,"Fitter 3","Distributor 1",47
811,2025-08-20,1,"Fitter 3","Distributor 1",36
812,2025-03-31,2,"Fitter 4","Distributor 3",28
813,2025-12-29,1,"Fitter 1","Distributor 1",49
815,2025-06-20,2,"Fitter 5","Distributor 1",41
818,2025-02-23,7,"Fitter 5","Distributor 3",50
819,2025-12-05,7,"Fitter 2","Distributor 3",21
822,2025-06-05,4,"Fitter 1","Distributor 2",39
823,2025-09-15,1,"Fitter 3","Distributor 2",14
825,2025-07-13,1,"Fitter 3","Distributor 1",39
826,2025-05-28,3,"Fitter 2","Distributor 3",36
830,2025-11-19,7,"Fitter 3","Distributor 2",48
831,2025-08-26,4,"Fitter 4","Distributor 1",19
832,2025-02-22,4,"Fitter 5","Distributor 2",13
833,2025-12-25,5,"Fitter 4","Distributor 1",22
834,2025-04-15,5,"Fitter 4","Distributor 1",48
835,2025-02-13,2,"Fitter 3","Distributor 3",19
837,2025-12-01,3,"Fitter 5","Distributor 2",23
838,2025-03-01,5,"Fitter 4","Distributor 1",20
839,2025-04-30,7,"Fitter 2","Distributor 1",13
840,2026-01-07,5,"Fitter 2","Distributor 3",48
841,2025-02-20,7,"Fitter 1","Distributor 1",47
843,2025-10-23,7,"Fitter 3","Distributor 1",11
845,2025-11-10,6,"Fitter 3","Distributor 1",35
847,2025-08-30,1,"Fitter 1","Distributor 2",27
848,2025-06-04,6,"Fitter 2","Distributor 2",21
849,2025-05-17,5,"Fitter 3","Distributor 1",24
850,2025-07-05,7,"Fitter 1","Distributor 2",18
851,2025-10-01,2,"Fitter 3","Distributor 3",38
852,2025-04-28,5,"Fitter 1","Distributor 2",12
862,2025-08-09,2,"Fitter 3","Distributor 3",29
863,2025-09-21,7,"Fitter 2","Distributor 2",15
864,2025-07-06,3,"Fitter 5","Distributor 1",11
865,2025-03-29,7,"Fitter 4","Distributor 3",31
866,2025-03-23,6,"Fitter 3","Distributor 2",16
871,2025-03-22,6,"Fitter 4","Distributor 3",41
872,2025-02-11,7,"Fitter 1","Distributor 2",38
874,2025-09-26,4,"Fitter 1","Distributor 2",11
875,2025-10-20,1,"Fitter 2","Distributor 1",44
876,2025-07-05,4,"Fitter 2","Distributor 1",32
880,2025-05-08,1,"Fitter 2","Distributor 3",24
881,2025-11-11,2,"Fitter 4","Distributor 1",44
884,2025-06-12,5,"Fitter 2","Distributor 1",44
886,2025-12-11,2,"Fitter 2","Distributor 1",41
887,2025-02-13,2,"Fitter 3","Distributor 2",28
890,2025-11-16,2,"Fitter 5","Distributor 1",26
893,2025-04-07,3,"Fitter 2","Distributor 3",16
894,2025-07-25,7,"Fitter 4","Distributor 1",12
896,2026-01-08,7,"Fitter 2","Distributor 1",49
897,2025-03-06,5,"Fitter 2","Distributor 3",50
898,2025-03-12,3,"Fitter 4","Distributor 3",20
901,2025-09-25,3,"Fitter 1","Distributor 3",14
902,2025-10-31,5,"Fitter 1","Distributor 2",42
904,2025-12-20,7,"Fitter 5","Distributor 1",23
905,2025-10-16,7,"Fitter 5","Distributor 3",21
906,2025-06-23,2,"Fitter 5","Distributor 3",44
907,2025-03-03,2,"Fitter 2","Distributor 1",10
909,2025-04-08,5,"Fitter 1","Distributor 1",16
911,2025-05-04,6,"Fitter 4","Distributor 2",42
912,2025-10-19,4,"Fitter 5","Distributor 3",45
913,2025-02-15,6,"Fitter 2","Distributor 1",25
914,2025-03-11,7,"Fitter 1","Distributor 1",18
917,2025-06-26,7,"Fitter 3","Distributor 1",16
919,2025-10-08,2,"Fitter 4","Distributor 1",49
920,2025-02-09,3,"Fitter 4","Distributor 2",17
922,2025-06-13,1,"Fitter 5","Distributor 2",26
923,2025-12-06,7,"Fitter 1","Distributor 1",48
925,2025-11-23,5,"Fitter 5","Distributor 3",35
926,2025-03-24,2,"Fitter 4","Distributor 2",38
931,2025-03-25,3,"Fitter 4","Distributor 1",46
935,2025-05-26,4,"Fitter 4","Distributor 2",16
939,2025-04-02,1,"Fitter 1","Distributor 2",22
940,2025-01-21,4,"Fitter 5","Distributor 1",24
942,2025-12-05,3,"Fitter 3","Distributor 2",47
943,2025-07-03,6,"Fitter 1","Distributor 3",18
944,2025-05-27,4,"Fitter 4","Distributor 2",38
945,2025-07-18,1,"Fitter 2","Distributor 2",34
947,2025-12-13,2,"Fitter 1","Distributor 2",10
948,2025-07-03,4,"Fitter 4","Distributor 2",42
950,2025-10-13,4,"Fitter 3","Distributor 1",16
952,2025-02-05,1,"Fitter 2","Distributor 2",32
954,2025-04-21,2,"Fitter 1","Distributor 1",23
955,2025-06-19,2,"Fitter 2","Distributor 3",26
957,2025-08-30,3,"Fitter 3","Distributor 1",24
958,2025-10-11,3,"Fitter 2","Distributor 3",15
961,2025-05-13,4,"Fitter 5","Distributor 2",32
963,2025-02-17,6,"Fitter 5","Distributor 3",45
964,2025-12-08,4,"Fitter 3","Distributor 3",42
972,2025-06-08,3,"Fitter 5","Distributor 2",49
976,2025-12-03,6,"Fitter 4","Distributor 3",40
980,2025-04-11,3,"Fitter 4","Distributor 1",39
982,2025-06-27,4,"Fitter 4","Distributor 3",26
983,2025-08-10,5,"Fitter 2","Distributor 1",49
984,2025-10-23,3,"Fitter 4","Distributor 2",26
