invoice_id,customer_id,staff_id,invoice_date,payment_mode,total_amount_items,total_tax,discount_amount,final_bill_amount
87,4528,20,"2025-12-29 00:00:00",Card,3967.00,438.00,0.00,4405.00
88,3775,16,"2025-04-07 00:00:00",UPI,11340.00,277.00,0.00,11617.00
89,385,11,"2025-03-15 00:00:00",Cash,2746.00,259.00,0.00,3005.00
90,2285,9,"2025-02-20 00:00:00",UPI,6298.00,468.00,0.00,6766.00
91,6508,4,"2025-11-20 00:00:00",Cash,25938.00,184.00,0.00,26122.00
92,1090,11,"2025-11-23 00:00:00",UPI,14943.00,461.00,0.00,15404.00
93,549,15,"2025-07-08 00:00:00",Card,6333.00,220.00,0.00,6553.00
94,4073,14,"2025-06-16 00:00:00",Cash,854.00,175.00,0.00,1029.00
95,3084,5,"2025-08-24 00:00:00",Card,4471.00,242.00,0.00,4713.00
96,4433,14,"2025-12-21 00:00:00",Cash,6049.00,401.00,0.00,6450.00
97,7366,1,"2025-06-01 00:00:00",UPI,2813.00,323.00,0.00,3136.00
98,128,12,"2025-07-20 00:00:00",Cash,2160.00,279.00,0.00,2439.00
99,477,3,"2025-11-24 00:00:00",Cash,3905.00,313.00,0.00,4218.00
100,4611,6,"2025-04-10 00:00:00",Card,2788.00,326.00,0.00,3114.00
101,1159,8,"2025-04-16 00:00:00",Card,4200.00,489.00,0.00,4689.00
102,4378,17,"2026-01-06 00:00:00",Cash,7854.00,168.00,0.00,8022.00
103,5619,3,"2025-06-07 00:00:00",Cash,798.00,351.00,0.00,1149.00
104,4397,8,"2025-01-30 00:00:00",Cash,18584.00,183.00,0.00,18767.00
105,3242,11,"2025-03-15 00:00:00",Card,15212.00,467.00,0.00,15679.00
106,1602,19,"2025-06-08 00:00:00",UPI,5089.00,298.00,0.00,5387.00
107,7792,16,"2025-12-22 00:00:00",Cash,6525.00,497.00,0.00,7022.00
108,1648,5,"2025-01-24 00:00:00",UPI,5207.00,499.00,0.00,5706.00
109,615,3,"2025-11-03 00:00:00",Card,7846.00,155.00,0.00,8001.00
110,684,4,"2025-03-04 00:00:00",Card,7328.00,422.00,0.00,7750.00
111,6738,16,"2025-07-27 00:00:00",Cash,18391.00,432.00,0.00,18823.00
112,1940,11,"2025-10-02 00:00:00",UPI,6992.00,383.00,0.00,7375.00
113,5669,5,"2025-12-14 00:00:00",UPI,21319.00,346.00,0.00,21665.00
114,7599,5,"2025-02-12 00:00:00",UPI,9510.00,203.00,0.00,9713.00
115,162,10,"2025-06-17 00:00:00",Cash,5977.00,321.00,0.00,6298.00
116,5677,4,"2025-03-07 00:00:00",Cash,14739.00,249.00,0.00,14988.00
117,1478,2,"2025-08-08 00:00:00",Cash,5536.00,187.00,0.00,5723.00
118,6547,13,"2025-06-28 00:00:00",Cash,3204.00,192.00,0.00,3396.00
119,3543,4,"2025-08-21 00:00:00",Card,12055.00,164.00,0.00,12219.00
120,3305,1,"2025-03-17 00:00:00",UPI,3611.00,319.00,0.00,3930.00
121,1720,15,"2025-07-14 00:00:00",UPI,14811.00,211.00,0.00,15022.00
122,7476,13,"2025-08-09 00:00:00",Card,6589.00,393.00,0.00,6982.00
123,500,20,"2025-01-15 00:00:00",UPI,9412.00,242.00,0.00,9654.00
124,6817,10,"2025-02-24 00:00:00",Cash,4844.00,264.00,0.00,5108.00
125,4280,16,"2025-06-23 00:00:00",Cash,2218.00,224.00,0.00,2442.00
126,3024,13,"2025-03-16 00:00:00",UPI,5084.00,286.00,0.00,5370.00
127,1022,5,"2025-09-06 00:00:00",Card,6521.00,442.00,0.00,6963.00
128,6758,16,"2025-07-23 00:00:00",UPI,2586.00,435.00,0.00,3021.00
129,4042,6,"2025-12-16 00:00:00",UPI,18908.00,153.00,0.00,19061.00
130,5080,5,"2025-12-09 00:00:00",UPI,11526.00,154.00,0.00,11680.00
131,7322,16,"2025-03-13 00:00:00",UPI,7782.00,353.00,0.00,8135.00
132,5499,19,"2025-12-28 00:00:00",Cash,9593.00,309.00,0.00,9902.00
133,3910,2,"2025-03-21 00:00:00",UPI,5406.00,265.00,0.00,5671.00
134,3511,6,"2025-05-09 00:00:00",Card,22142.00,197.00,0.00,22339.00
135,7872,11,"2025-08-01 00:00:00",UPI,8447.00,320.00,0.00,8767.00
136,1992,9,"2025-11-07 00:00:00",Card,7020.00,284.00,0.00,7304.00
137,5924,5,"2025-02-02 00:00:00",Cash,19741.00,262.00,0.00,20003.00
138,2464,13,"2025-08-28 00:00:00",Card,9032.00,407.00,0.00,9439.00
139,6539,6,"2025-08-13 00:00:00",UPI,3433.00,437.00,0.00,3870.00
140,3788,19,"2025-03-30 00:00:00",Cash,10639.00,450.00,0.00,11089.00
141,3457,12,"2025-08-28 00:00:00",UPI,9451.00,499.00,0.00,9950.00
142,2213,5,"2025-04-03 00:00:00",UPI,7349.00,282.00,0.00,7631.00
143,5671,5,"2025-07-12 00:00:00",UPI,5733.00,353.00,0.00,6086.00
144,7,8,"2025-03-01 00:00:00",Card,8345.00,373.00,0.00,8718.00
145,4142,15,"2025-12-14 00:00:00",Card,10670.00,399.00,0.00,11069.00
146,230,2,"2025-12-18 00:00:00",Cash,1841.00,273.00,0.00,2114.00
147,3662,18,"2025-03-15 00:00:00",Cash,10041.00,296.00,0.00,10337.00
148,4396,16,"2025-08-05 00:00:00",UPI,10486.00,156.00,0.00,10642.00
149,214,11,"2025-03-12 00:00:00",Cash,16589.00,354.00,0.00,16943.00
150,2978,8,"2025-05-24 00:00:00",Cash,9806.00,297.00,0.00,10103.00
151,1006,15,"2025-06-26 00:00:00",Card,14247.00,318.00,0.00,14565.00
152,7038,9,"2025-02-17 00:00:00",Cash,2619.00,373.00,0.00,2992.00
153,5538,1,"2025-04-23 00:00:00",Cash,4249.00,269.00,0.00,4518.00
154,5499,12,"2025-05-13 00:00:00",Cash,6445.00,270.00,0.00,6715.00
155,4914,20,"2025-01-23 00:00:00",UPI,5744.00,354.00,0.00,6098.00
156,5024,3,"2025-11-17 00:00:00",Card,12563.00,161.00,0.00,12724.00
157,5689,11,"2025-10-09 00:00:00",Cash,13692.00,196.00,0.00,13888.00
158,4529,14,"2025-12-09 00:00:00",UPI,7735.00,422.00,0.00,8157.00
159,1168,5,"2025-05-07 00:00:00",Cash,17556.00,313.00,0.00,17869.00
160,283,12,"2025-02-10 00:00:00",UPI,1251.00,330.00,0.00,1581.00
161,3682,19,"2025-02-05 00:00:00",Card,12332.00,282.00,0.00,12614.00
162,432,13,"2025-11-30 00:00:00",Card,2716.00,219.00,0.00,2935.00
163,3618,1,"2025-01-27 00:00:00",UPI,7308.00,398.00,0.00,7706.00
164,1258,19,"2025-12-08 00:00:00",UPI,10125.00,338.00,0.00,10463.00
165,3240,18,"2025-08-03 00:00:00",Cash,7823.00,246.00,0.00,8069.00
166,4961,7,"2025-10-07 00:00:00",Card,2192.00,382.00,0.00,2574.00
167,3150,10,"2025-12-05 00:00:00",Cash,7212.00,328.00,0.00,7540.00
168,2580,20,"2025-05-28 00:00:00",Card,1545.00,494.00,0.00,2039.00
169,6605,12,"2025-11-23 00:00:00",UPI,8520.00,270.00,0.00,8790.00
170,5025,14,"2025-01-23 00:00:00",UPI,5427.00,315.00,0.00,5742.00
171,3898,17,"2025-11-19 00:00:00",Card,13222.00,370.00,0.00,13592.00
172,7542,13,"2025-06-11 00:00:00",Card,7917.00,314.00,0.00,8231.00
173,7309,17,"2025-04-12 00:00:00",Cash,4622.00,339.00,0.00,4961.00
174,4760,18,"2025-05-28 00:00:00",Cash,12315.00,465.00,0.00,12780.00
175,6841,13,"2025-07-26 00:00:00",UPI,14257.00,479.00,0.00,14736.00
176,7464,11,"2025-10-02 00:00:00",UPI,1412.00,220.00,0.00,1632.00
177,3721,19,"2025-05-11 00:00:00",Cash,6495.00,242.00,0.00,6737.00
178,5007,11,"2026-01-09 00:00:00",Cash,6510.00,247.00,0.00,6757.00
179,5737,13,"2025-11-27 00:00:00",Cash,4265.00,232.00,0.00,4497.00
180,653,6,"2025-10-14 00:00:00",UPI,10836.00,437.00,0.00,11273.00
181,3238,12,"2025-08-12 00:00:00",Cash,6614.00,207.00,0.00,6821.00
182,5801,16,"2025-12-15 00:00:00",Cash,4358.00,170.00,0.00,4528.00
183,2881,17,"2025-03-17 00:00:00",Cash,24877.00,233.00,0.00,25110.00
184,1074,1,"2025-05-06 00:00:00",Cash,5900.00,224.00,0.00,6124.00
185,7336,15,"2025-02-01 00:00:00",UPI,10766.00,464.00,0.00,11230.00
186,4518,6,"2025-11-17 00:00:00",Card,16162.00,202.00,0.00,16364.00
187,6091,10,"2025-01-15 00:00:00",UPI,18307.00,458.00,0.00,18765.00
188,318,10,"2025-05-17 00:00:00",UPI,11697.00,203.00,0.00,11900.00
189,714,20,"2025-04-18 00:00:00",UPI,8958.00,235.00,0.00,9193.00
190,6596,17,"2025-12-19 00:00:00",Card,10453.00,358.00,0.00,10811.00
191,2200,16,"2025-10-27 00:00:00",Card,3243.00,164.00,0.00,3407.00
192,1793,4,"2025-06-05 00:00:00",Card,8371.00,443.00,0.00,8814.00
193,1351,14,"2025-11-13 00:00:00",Cash,4773.00,204.00,0.00,4977.00
194,2590,10,"2025-07-31 00:00:00",Card,14407.00,286.00,0.00,14693.00
195,3378,18,"2025-03-21 00:00:00",Cash,677.00,152.00,0.00,829.00
196,5174,13,"2025-03-30 00:00:00",UPI,5677.00,394.00,0.00,6071.00
197,7419,13,"2025-07-13 00:00:00",UPI,3116.00,173.00,0.00,3289.00
198,747,16,"2025-10-08 00:00:00",Card,2428.00,210.00,0.00,2638.00
199,7996,4,"2025-06-21 00:00:00",Card,3233.00,494.00,0.00,3727.00
200,480,15,"2025-05-22 00:00:00",Card,17819.00,436.00,0.00,18255.00
201,6642,2,"2025-07-13 00:00:00",Card,10150.00,291.00,0.00,10441.00
202,2401,15,"2025-04-25 00:00:00",Cash,12366.00,485.00,0.00,12851.00
203,1523,9,"2025-06-18 00:00:00",Cash,1413.00,402.00,0.00,1815.00
204,5271,12,"2025-02-13 00:00:00",UPI,1395.00,302.00,0.00,1697.00
205,2627,2,"2025-02-16 00:00:00",UPI,10995.00,414.00,0.00,11409.00
206,468,14,"2025-05-12 00:00:00",UPI,4927.00,325.00,0.00,5252.00
207,5338,2,"2025-10-06 00:00:00",Cash,4710.00,188.00,0.00,4898.00
208,6121,3,"2025-08-02 00:00:00",UPI,18572.00,153.00,0.00,18725.00
209,6288,16,"2025-05-07 00:00:00",Cash,11983.00,434.00,0.00,12417.00
210,6390,4,"2025-08-03 00:00:00",Card,14867.00,418.00,0.00,15285.00
211,2779,5,"2025-10-13 00:00:00",Cash,2117.00,247.00,0.00,2364.00
212,1115,17,"2025-06-12 00:00:00",Card,9267.00,468.00,0.00,9735.00
213,7120,15,"2025-09-19 00:00:00",Card,1361.00,248.00,0.00,1609.00
214,4327,10,"2025-06-10 00:00:00",UPI,3720.00,264.00,0.00,3984.00
215,5487,7,"2025-03-19 00:00:00",Cash,2865.00,322.00,0.00,3187.00
216,3453,1,"2025-07-10 00:00:00",Card,12234.00,260.00,0.00,12494.00
217,6436,16,"2025-06-27 00:00:00",Cash,4158.00,219.00,0.00,4377.00
218,5768,14,"2025-10-31 00:00:00",UPI,2686.00,175.00,0.00,2861.00
219,642,20,"2025-09-07 00:00:00",UPI,5372.00,473.00,0.00,5845.00
220,4621,2,"2025-05-24 00:00:00",Cash,14872.00,422.00,0.00,15294.00
221,4611,4,"2025-04-08 00:00:00",Cash,17805.00,356.00,0.00,18161.00
222,872,1,"2025-02-11 00:00:00",Cash,3509.00,295.00,0.00,3804.00
223,3524,11,"2025-03-17 00:00:00",Card,23789.00,320.00,0.00,24109.00
224,948,11,"2025-07-03 00:00:00",UPI,4517.00,243.00,0.00,4760.00
225,1880,5,"2025-03-22 00:00:00",UPI,3195.00,384.00,0.00,3579.00
226,4855,20,"2025-04-14 00:00:00",UPI,11627.00,374.00,0.00,12001.00
227,6740,16,"2025-08-21 00:00:00",Card,6057.00,223.00,0.00,6280.00
228,2170,11,"2025-05-21 00:00:00",Cash,15142.00,498.00,0.00,15640.00
229,4069,9,"2025-06-23 00:00:00",Card,3990.00,340.00,0.00,4330.00
230,7471,1,"2025-09-12 00:00:00",UPI,12585.00,228.00,0.00,12813.00
231,4354,11,"2025-06-27 00:00:00",UPI,5807.00,500.00,0.00,6307.00
232,548,17,"2025-09-29 00:00:00",Card,11622.00,335.00,0.00,11957.00
233,3467,17,"2025-12-03 00:00:00",UPI,9978.00,466.00,0.00,10444.00
234,2602,11,"2025-08-13 00:00:00",Cash,25192.00,272.00,0.00,25464.00
235,3059,7,"2025-09-30 00:00:00",Card,3724.00,270.00,0.00,3994.00
236,1940,15,"2025-05-03 00:00:00",Cash,5381.00,498.00,0.00,5879.00
237,3089,1,"2025-10-18 00:00:00",Cash,2413.00,233.00,0.00,2646.00
238,6481,5,"2025-07-18 00:00:00",UPI,5832.00,255.00,0.00,6087.00
239,7165,17,"2025-04-09 00:00:00",Cash,4260.00,476.00,0.00,4736.00
240,1485,5,"2025-08-10 00:00:00",Cash,22603.00,228.00,0.00,22831.00
241,3858,1,"2025-09-14 00:00:00",Cash,15067.00,451.00,0.00,15518.00
242,925,7,"2025-11-23 00:00:00",Card,7540.00,185.00,0.00,7725.00
243,2863,5,"2025-06-22 00:00:00",Cash,13935.00,243.00,0.00,14178.00
244,4082,18,"2025-08-18 00:00:00",Card,5872.00,278.00,0.00,6150.00
245,241,15,"2025-04-06 00:00:00",UPI,8403.00,238.00,0.00,8641.00
246,3097,20,"2025-05-31 00:00:00",Card,8412.00,500.00,0.00,8912.00
247,2324,4,"2025-11-09 00:00:00",UPI,10817.00,401.00,0.00,11218.00
248,4158,2,"2025-07-24 00:00:00",UPI,6464.00,429.00,0.00,6893.00
249,2510,17,"2025-01-12 00:00:00",Card,17646.00,224.00,0.00,17870.00
250,2006,20,"2025-01-15 00:00:00",Card,8445.00,174.00,0.00,8619.00
251,99,17,"2025-11-12 00:00:00",Cash,5077.00,287.00,0.00,5364.00
252,5185,14,"2025-05-14 00:00:00",Cash,4707.00,456.00,0.00,5163.00
253,6923,1,"2025-07-27 00:00:00",UPI,1505.00,273.00,0.00,1778.00
254,7640,7,"2025-10-28 00:00:00",UPI,7569.00,298.00,0.00,7867.00
255,7585,1,"2025-06-06 00:00:00",Card,6481.00,162.00,0.00,6643.00
256,1762,2,"2025-12-30 00:00:00",Card,7788.00,309.00,0.00,8097.00
257,6959,11,"2025-05-08 00:00:00",Card,11929.00,216.00,0.00,12145.00
258,7561,5,"2025-11-29 00:00:00",Cash,6092.00,436.00,0.00,6528.00
259,781,7,"2025-08-05 00:00:00",Cash,21924.00,165.00,0.00,22089.00
260,6253,9,"2025-07-19 00:00:00",UPI,830.00,318.00,0.00,1148.00
261,7869,3,"2025-11-21 00:00:00",UPI,11186.00,172.00,0.00,11358.00
262,5549,8,"2025-03-19 00:00:00",UPI,12463.00,165.00,0.00,12628.00
263,6663,14,"2025-01-26 00:00:00",Cash,2218.00,391.00,0.00,2609.00
264,5647,3,"2025-09-21 00:00:00",UPI,7970.00,217.00,0.00,8187.00
265,2417,3,"2025-12-04 00:00:00",UPI,3929.00,243.00,0.00,4172.00
266,1995,14,"2025-05-15 00:00:00",Card,5401.00,203.00,0.00,5604.00
267,6118,12,"2025-08-24 00:00:00",UPI,14565.00,358.00,0.00,14923.00
268,7339,19,"2025-07-08 00:00:00",Card,1389.00,240.00,0.00,1629.00
269,1015,11,"2025-02-25 00:00:00",Cash,4527.00,463.00,0.00,4990.00
270,527,19,"2025-09-26 00:00:00",UPI,7969.00,360.00,0.00,8329.00
271,4148,3,"2025-12-24 00:00:00",UPI,1855.00,293.00,0.00,2148.00
272,4728,8,"2025-09-04 00:00:00",Card,11484.00,245.00,0.00,11729.00
273,917,13,"2025-06-26 00:00:00",UPI,9471.00,337.00,0.00,9808.00
274,6963,7,"2025-09-16 00:00:00",UPI,13985.00,458.00,0.00,14443.00
275,7202,12,"2025-08-10 00:00:00",Cash,9861.00,446.00,0.00,10307.00
276,1215,9,"2025-07-05 00:00:00",Cash,11752.00,454.00,0.00,12206.00
277,37,1,"2025-07-25 00:00:00",Card,18218.00,184.00,0.00,18402.00
278,4,7,"2025-07-11 00:00:00",Card,9505.00,419.00,0.00,9924.00
279,6226,19,"2025-08-05 00:00:00",Cash,19260.00,282.00,0.00,19542.00
280,524,8,"2025-09-05 00:00:00",Card,8557.00,253.00,0.00,8810.00
281,3750,15,"2025-09-17 00:00:00",Card,5921.00,382.00,0.00,6303.00
282,6769,14,"2025-10-10 00:00:00",UPI,10530.00,195.00,0.00,10725.00
283,2721,17,"2025-07-29 00:00:00",UPI,11147.00,211.00,0.00,11358.00
284,6134,15,"2025-04-21 00:00:00",Card,2302.00,195.00,0.00,2497.00
285,6830,17,"2025-04-13 00:00:00",Card,3940.00,389.00,0.00,4329.00
286,4826,10,"2025-04-19 00:00:00",Card,677.00,493.00,0.00,1170.00
287,1091,6,"2025-08-09 00:00:00",UPI,15928.00,340.00,0.00,16268.00
288,6622,18,"2025-09-30 00:00:00",Cash,8351.00,405.00,0.00,8756.00
289,1074,5,"2025-09-01 00:00:00",Card,1305.00,411.00,0.00,1716.00
290,1622,6,"2025-08-08 00:00:00",Cash,4259.00,446.00,0.00,4705.00
291,5247,3,"2025-07-18 00:00:00",Card,12826.00,269.00,0.00,13095.00
292,7537,19,"2025-07-03 00:00:00",Card,4094.00,459.00,0.00,4553.00
293,4256,4,"2025-12-28 00:00:00",Card,17630.00,217.00,0.00,17847.00
294,2343,11,"2025-10-04 00:00:00",Card,10138.00,350.00,0.00,10488.00
295,1079,3,"2025-06-21 00:00:00",Card,16345.00,368.00,0.00,16713.00
296,1957,5,"2025-11-19 00:00:00",UPI,7450.00,244.00,0.00,7694.00
297,4650,7,"2025-06-18 00:00:00",UPI,6681.00,193.00,0.00,6874.00
298,220,19,"2025-06-25 00:00:00",UPI,3058.00,167.00,0.00,3225.00
299,4533,8,"2025-06-24 00:00:00",Card,5925.00,406.00,0.00,6331.00
300,449,6,"2025-04-27 00:00:00",Cash,5769.00,366.00,0.00,6135.00
301,4844,13,"2025-07-09 00:00:00",Card,5898.00,233.00,0.00,6131.00
302,1807,19,"2025-05-12 00:00:00",UPI,16160.00,337.00,0.00,16497.00
303,2489,2,"2025-09-02 00:00:00",Cash,13514.00,426.00,0.00,13940.00
304,2818,10,"2025-12-08 00:00:00",Cash,5721.00,462.00,0.00,6183.00
305,5900,5,"2025-10-12 00:00:00",Card,7434.00,267.00,0.00,7701.00
306,5723,8,"2025-10-28 00:00:00",UPI,18111.00,174.00,0.00,18285.00
307,5520,20,"2025-02-27 00:00:00",Cash,15738.00,427.00,0.00,16165.00
308,5919,5,"2025-10-03 00:00:00",UPI,5669.00,232.00,0.00,5901.00
309,2824,5,"2025-12-31 00:00:00",UPI,14554.00,384.00,0.00,14938.00
310,5020,15,"2025-01-19 00:00:00",Cash,5338.00,251.00,0.00,5589.00
311,3290,8,"2025-06-11 00:00:00",Cash,11698.00,183.00,0.00,11881.00
312,2388,5,"2025-04-29 00:00:00",Card,11213.00,294.00,0.00,11507.00
313,3991,1,"2025-10-21 00:00:00",Card,2183.00,312.00,0.00,2495.00
314,1209,18,"2025-09-17 00:00:00",UPI,2105.00,473.00,0.00,2578.00
315,6073,14,"2025-08-28 00:00:00",UPI,10157.00,399.00,0.00,10556.00
316,989,7,"2025-04-29 00:00:00",UPI,1969.00,234.00,0.00,2203.00
317,34,6,"2025-08-06 00:00:00",Card,10084.00,239.00,0.00,10323.00
318,2749,6,"2026-01-08 00:00:00",UPI,5482.00,264.00,0.00,5746.00
319,1764,9,"2025-02-26 00:00:00",Card,6833.00,324.00,0.00,7157.00
320,2915,10,"2025-08-07 00:00:00",Card,13712.00,495.00,0.00,14207.00
321,3452,15,"2025-10-07 00:00:00",Cash,6220.00,161.00,0.00,6381.00
322,2195,5,"2025-06-14 00:00:00",Card,11572.00,350.00,0.00,11922.00
323,6323,15,"2025-09-06 00:00:00",Card,11938.00,278.00,0.00,12216.00
324,7483,6,"2025-09-24 00:00:00",Cash,8158.00,235.00,0.00,8393.00
325,3335,9,"2025-08-17 00:00:00",Cash,3747.00,411.00,0.00,4158.00
326,2215,11,"2025-01-17 00:00:00",Cash,5699.00,457.00,0.00,6156.00
